ref_name,query_name,seed_name,edit_distance,edit_distance_time
query1+0,query1,alignment,0,0.000037632
query1+10,query1,alignment,10,0.000041779
query1+20,query1,alignment,20,0.000092635
query1+30,query1,alignment,30,0.000175362
query1+40,query1,alignment,40,0.000292605
query1+50,query1,alignment,50,0.000441116
query1+60,query1,alignment,60,0.00062283
query1+70,query1,alignment,70,0.000835424
query1+80,query1,alignment,80,0.001099424
query1+90,query1,alignment,90,0.001369677
query1+100,query1,alignment,100,0.001780826
query1+110,query1,alignment,110,0.002070835
query1+120,query1,alignment,120,0.002456146
query1+130,query1,alignment,130,0.003070782
query1+140,query1,alignment,140,0.003457184
query1+150,query1,alignment,150,0.003846692
query1+160,query1,alignment,160,0.004322915
query1+170,query1,alignment,170,0.004949533
query1+180,query1,alignment,180,0.005487673
query1+190,query1,alignment,190,0.00613013
query1+200,query1,alignment,200,0.006901002
query1+210,query1,alignment,210,0.007480841
query1+220,query1,alignment,220,0.008188833
query1+230,query1,alignment,230,0.008959244
query1+240,query1,alignment,240,0.010626484
query1+250,query1,alignment,250,0.011044657
query1+260,query1,alignment,260,0.011738051
query1+270,query1,alignment,270,0.012436626
query1+280,query1,alignment,280,0.013645297
query1+290,query1,alignment,290,0.014803422
query1+300,query1,alignment,300,0.015498079
query1+310,query1,alignment,310,0.016314807
query1+320,query1,alignment,320,0.017351793
query1+330,query1,alignment,330,0.018611771
query1+340,query1,alignment,340,0.01973452
query1+350,query1,alignment,350,0.021074159
query1+360,query1,alignment,360,0.022396366
query1+370,query1,alignment,370,0.02350623
query1+380,query1,alignment,380,0.025023166
query1+390,query1,alignment,390,0.026194385
query1+400,query1,alignment,400,0.027656186
query1+410,query1,alignment,410,0.029067021
query1+420,query1,alignment,420,0.030584327
query1+430,query1,alignment,430,0.031933405
query1+440,query1,alignment,440,0.033472692
query1+450,query1,alignment,450,0.035130375
query1+460,query1,alignment,460,0.036803988
query1+470,query1,alignment,470,0.038174335
query1+480,query1,alignment,480,0.03975931
query1+490,query1,alignment,490,0.041763889
