seed_name,query_name,ref_name,estimation,query_time,ref_time
7-mers,query1 | len_10000 ,query1+10 | len_9999 +10 ,0.6839445639665783,0.000316768,0.000325324
7-mers,query1 | len_10000 ,query1+15 | len_9995 +15 ,0.08437171595856478,0.000316768,0.000140661
7-mers,query1 | len_10000 ,query1+20 | len_9997 +20 ,0.24508381285964473,0.000316768,0.000016311
7-mers,query1 | len_10000 ,query1+25 | len_10001 +25 ,0.4269348141477813,0.000316768,0.00001628
7-mers,query1 | len_10000 ,query1+30 | len_10006 +30 ,0.11733520056016805,0.000316768,0.00001619
7-mers,query1 | len_10000 ,query1+35 | len_9993 +35 ,0.1394324608377959,0.000316768,0.00001629
7-mers,query1 | len_10000 ,query1+40 | len_10004 +40 ,0.0896358543417367,0.000316768,0.00001632
7-mers,query1 | len_10000 ,query1+45 | len_9997 +45 ,0.0527395546659995,0.000316768,0.00001632
7-mers,query1 | len_10000 ,query1+50 | len_9992 +50 ,0.05545545545545546,0.000316768,0.000016722
7-mers,query1 | len_10000 ,query1+55 | len_10007 +55 ,0.05221305326331583,0.000316768,0.0000163
7-mers,query1 | len_10000 ,query1+60 | len_10000 +60 ,0.1829097458475085,0.000316768,0.00001618
7-mers,query1 | len_10000 ,query1+65 | len_10004 +65 ,0.125750300120048,0.000316768,0.000017412
7-mers,query1 | len_10000 ,query1+70 | len_9996 +70 ,0.007506004803843075,0.000316768,0.000017212
7-mers,query1 | len_10000 ,query1+75 | len_10010 +75 ,0.06460646064606461,0.000316768,0.000017372
7-mers,query1 | len_10000 ,query1+80 | len_10001 +80 ,0.16979338636249938,0.000316768,0.000017543
7-mers,query1 | len_10000 ,query1+85 | len_9994 +85 ,0.07416675007506757,0.000316768,0.000017312
7-mers,query1 | len_10000 ,query1+90 | len_9999 +90 ,0.26066943513283636,0.000316768,0.000018895
7-mers,query1 | len_10000 ,query1+95 | len_10015 +95 ,0.05369194620806879,0.000316768,0.000018334
7-mers,query1 | len_10000 ,query1+100 | len_9981 +100 ,0.01001552406229656,0.000316768,0.000018745
7-mers,query1 | len_10000 ,query1+105 | len_9999 +105 ,0.08805723720418272,0.000316768,0.000018985
7-mers,query1 | len_10000 ,query1+110 | len_10022 +110 ,0.11984007996002,0.000316768,0.000018213
7-mers,query1 | len_10000 ,query1+115 | len_9999 +115 ,0.0998649121929254,0.000316768,0.000018244
7-mers,query1 | len_10000 ,query1+120 | len_10004 +120 ,0.20128051220488194,0.000316768,0.000018204
7-mers,query1 | len_10000 ,query1+125 | len_10006 +125 ,0.058317495248574575,0.000316768,0.000018053
7-mers,query1 | len_10000 ,query1+130 | len_10004 +130 ,0.05222088835534214,0.000316768,0.000018183
7-mers,query1 | len_10000 ,query1+135 | len_10008 +135 ,0.2535507101420284,0.000316768,0.000018183
7-mers,query1 | len_10000 ,query1+140 | len_10000 +140 ,0.07654592755653392,0.000316768,0.000021219
7-mers,query1 | len_10000 ,query1+145 | len_9996 +145 ,0.144515612489992,0.000316768,0.000020608
7-mers,query1 | len_10000 ,query1+150 | len_9997 +150 ,0.192244183137353,0.000316768,0.000020378
7-mers,query1 | len_10000 ,query1+155 | len_9991 +155 ,0.05916212022623755,0.000316768,0.000020769
7-mers,query1 | len_10000 ,query1+160 | len_9992 +160 ,0.061861861861861864,0.000316768,0.000020478
7-mers,query1 | len_10000 ,query1+165 | len_10003 +165 ,0.029713371016957632,0.000316768,0.000020558
7-mers,query1 | len_10000 ,query1+170 | len_10004 +170 ,0.1454581832733093,0.000316768,0.000019977
7-mers,query1 | len_10000 ,query1+175 | len_9990 +175 ,0.012313544899389328,0.000316768,0.000020267
7-mers,query1 | len_10000 ,query1+180 | len_9989 +180 ,0.08880212244080693,0.000316768,0.000020698
7-mers,query1 | len_10000 ,query1+185 | len_10024 +185 ,0.023585848490905458,0.000316768,0.000020518
7-mers,query1 | len_10000 ,query1+190 | len_10010 +190 ,0.032503250325032505,0.000316768,0.000020218
7-mers,query1 | len_10000 ,query1+195 | len_10016 +195 ,0.028094381123775245,0.000316768,0.000020568
7-mers,query1 | len_10000 ,query1+200 | len_9993 +200 ,0.02982833692007407,0.000316768,0.000020629
7-mers,query1 | len_10000 ,query1+205 | len_10003 +205 ,0.09554299434745636,0.000316768,0.000020267
7-mers,query1 | len_10000 ,query1+210 | len_9986 +210 ,0.07489736657654951,0.000316768,0.000019937
7-mers,query1 | len_10000 ,query1+215 | len_9990 +215 ,0.017118830713785164,0.000316768,0.000019977
7-mers,query1 | len_10000 ,query1+220 | len_10003 +220 ,0.19178630383672654,0.000316768,0.000019937
7-mers,query1 | len_10000 ,query1+225 | len_10007 +225 ,0.016704176044011004,0.000316768,0.000020057
7-mers,query1 | len_10000 ,query1+230 | len_10015 +230 ,0.11888216767484877,0.000316768,0.000020047
7-mers,query1 | len_10000 ,query1+235 | len_10002 +235 ,0.0464232116058029,0.000316768,0.000020067
7-mers,query1 | len_10000 ,query1+240 | len_9999 +240 ,0.04392855355981388,0.000316768,0.00002709
7-mers,query1 | len_10000 ,query1+245 | len_9983 +245 ,0.014721345951629864,0.000316768,0.000027481
7-mers,query1 | len_10000 ,query1+250 | len_9989 +250 ,0.08679981979276168,0.000316768,0.00002691
7-mers,query1 | len_10000 ,query1+255 | len_9981 +255 ,0.0016024838499674495,0.000316768,0.00002674
7-mers,query1 | len_10000 ,query1+260 | len_10017 +260 ,0.039990002499375156,0.000316768,0.000027481
7-mers,query1 | len_10000 ,query1+265 | len_9972 +265 ,0.003006012024048096,0.000316768,0.000031629
7-mers,query1 | len_10000 ,query1+270 | len_10002 +270 ,0.11755877938969485,0.000316768,0.000026669
7-mers,query1 | len_10000 ,query1+275 | len_9985 +275 ,0.02813798628148,0.000316768,0.000027672
7-mers,query1 | len_10000 ,query1+280 | len_10013 +280 ,0.023098845057747112,0.000316768,0.000037008
7-mers,query1 | len_10000 ,query1+285 | len_9996 +285 ,0.11208967173738991,0.000316768,0.000033853
7-mers,query1 | len_10000 ,query1+290 | len_10017 +290 ,0.04818795301174706,0.000316768,0.000029325
7-mers,query1 | len_10000 ,query1+295 | len_10006 +295 ,0,0.000316768,0.000032871
7-mers,query1 | len_10000 ,query1+300 | len_9998 +300 ,0.0204142900030021,0.000316768,0.000033843
7-mers,query1 | len_10000 ,query1+305 | len_10000 +305 ,0.048028817290374226,0.000316768,0.000031108
7-mers,query1 | len_10000 ,query1+310 | len_9997 +310 ,0.0642481861396047,0.000316768,0.000024395
7-mers,query1 | len_10000 ,query1+315 | len_10000 +315 ,0.03502101260756454,0.000316768,0.000024616
7-mers,query1 | len_10000 ,query1+320 | len_9973 +320 ,0.018135363959721457,0.000316768,0.000025087
7-mers,query1 | len_10000 ,query1+325 | len_9995 +325 ,0.08947605464644948,0.000316768,0.000025397
7-mers,query1 | len_10000 ,query1+330 | len_10014 +330 ,0.026297370262973702,0.000316768,0.000024505
7-mers,query1 | len_10000 ,query1+335 | len_10005 +335 ,0.02700945330865803,0.000316768,0.000025788
7-mers,query1 | len_10000 ,query1+340 | len_9993 +340 ,0.04354136429608128,0.000316768,0.000024796
7-mers,query1 | len_10000 ,query1+345 | len_9992 +345 ,0.05105105105105105,0.000316768,0.000024605
7-mers,query1 | len_10000 ,query1+350 | len_9976 +350 ,0.07012622720897616,0.000316768,0.000024255
7-mers,query1 | len_10000 ,query1+355 | len_10010 +355 ,0.013701370137013702,0.000316768,0.000024856
7-mers,query1 | len_10000 ,query1+360 | len_10001 +360 ,0.0315173345339937,0.000316768,0.000025177
7-mers,query1 | len_10000 ,query1+365 | len_10004 +365 ,0.06282513005202081,0.000316768,0.000025306
