ref_name,query_name,seed_name,edit_distance,edit_distance_time
query1+0,query1,alignment,0,0.000043321
query1+10,query1,alignment,10,0.00004255
query1+20,query1,alignment,20,0.000091622
query1+30,query1,alignment,30,0.000174398
query1+40,query1,alignment,40,0.000286819
query1+50,query1,alignment,50,0.000434025
query1+60,query1,alignment,60,0.000716697
query1+70,query1,alignment,70,0.00096829
query1+80,query1,alignment,80,0.001092343
query1+90,query1,alignment,90,0.001445107
query1+100,query1,alignment,100,0.001844427
query1+110,query1,alignment,110,0.001988497
query1+120,query1,alignment,120,0.002393258
query1+130,query1,alignment,130,0.002764336
query1+140,query1,alignment,140,0.003423184
query1+150,query1,alignment,150,0.003803138
query1+160,query1,alignment,160,0.004365114
query1+170,query1,alignment,170,0.004734018
query1+180,query1,alignment,180,0.005327163
query1+190,query1,alignment,190,0.006058347
query1+200,query1,alignment,200,0.006670508
query1+210,query1,alignment,210,0.007250308
query1+220,query1,alignment,220,0.007958458
query1+230,query1,alignment,230,0.008888056
query1+240,query1,alignment,240,0.010136022
query1+250,query1,alignment,250,0.010822471
query1+260,query1,alignment,260,0.011577431
query1+270,query1,alignment,270,0.01252375
query1+280,query1,alignment,280,0.013185824
query1+290,query1,alignment,290,0.014040741
query1+300,query1,alignment,300,0.015121352
query1+310,query1,alignment,310,0.016171896
query1+320,query1,alignment,320,0.017102275
query1+330,query1,alignment,330,0.018277304
query1+340,query1,alignment,340,0.019436192
query1+350,query1,alignment,350,0.020577026
query1+360,query1,alignment,360,0.021715817
query1+370,query1,alignment,370,0.02288804
query1+380,query1,alignment,380,0.024269276
query1+390,query1,alignment,390,0.025591411
query1+400,query1,alignment,400,0.026987074
query1+410,query1,alignment,410,0.027986753
query1+420,query1,alignment,420,0.029705654
query1+430,query1,alignment,430,0.031338152
query1+440,query1,alignment,440,0.033004375
query1+450,query1,alignment,450,0.034330085
query1+460,query1,alignment,460,0.035777416
query1+470,query1,alignment,470,0.037272155
query1+480,query1,alignment,480,0.039643423
query1+490,query1,alignment,490,0.040792112
query1+500,query1,alignment,500,0.042405043
query1+510,query1,alignment,510,0.042298443
query1+520,query1,alignment,520,0.044414711
query1+530,query1,alignment,530,0.045506452
query1+540,query1,alignment,540,0.046330672
query1+550,query1,alignment,550,0.048815422
query1+560,query1,alignment,560,0.031030605
query1+570,query1,alignment,570,0.050759066
query1+580,query1,alignment,580,0.052449463
query1+590,query1,alignment,590,0.028895231
