ref_name,query_name,seed_name,edit_distance,edit_distance_time
query1+0,query1,alignment,0,0.000076033
query1+10,query1,alignment,10,0.000113092
query1+20,query1,alignment,20,0.00019678
query1+30,query1,alignment,30,0.000374464
query1+40,query1,alignment,40,0.000684036
query1+50,query1,alignment,50,0.000994439
query1+60,query1,alignment,60,0.001290065
query1+70,query1,alignment,70,0.001160221
query1+80,query1,alignment,80,0.001557097
query1+90,query1,alignment,90,0.00191016
query1+100,query1,alignment,100,0.00251627
query1+110,query1,alignment,110,0.003285946
query1+120,query1,alignment,120,0.005873129
query1+130,query1,alignment,130,0.005387246
query1+140,query1,alignment,140,0.005301024
query1+150,query1,alignment,150,0.006817113
query1+160,query1,alignment,160,0.006629241
query1+170,query1,alignment,170,0.008293127
query1+180,query1,alignment,180,0.008105355
query1+190,query1,alignment,190,0.009382705
query1+200,query1,alignment,200,0.010429032
query1+210,query1,alignment,210,0.010697978
query1+220,query1,alignment,220,0.012170866
query1+230,query1,alignment,230,0.013597257
query1+240,query1,alignment,240,0.014637071
query1+250,query1,alignment,250,0.015779679
query1+260,query1,alignment,260,0.016715699
query1+270,query1,alignment,270,0.018312239
query1+280,query1,alignment,280,0.018889875
query1+290,query1,alignment,290,0.019980816
query1+300,query1,alignment,300,0.021527743
query1+310,query1,alignment,310,0.022640555
query1+320,query1,alignment,320,0.024940147
query1+330,query1,alignment,330,0.026098194
query1+340,query1,alignment,340,0.027925659
query1+350,query1,alignment,350,0.02953858
query1+360,query1,alignment,360,0.031445955
query1+370,query1,alignment,370,0.032855214
query1+380,query1,alignment,380,0.034388546
query1+390,query1,alignment,390,0.036326579
query1+400,query1,alignment,400,0.038023037
query1+410,query1,alignment,410,0.042801589
query1+420,query1,alignment,420,0.043478471
query1+430,query1,alignment,430,0.043632791
query1+440,query1,alignment,440,0.046045075
query1+450,query1,alignment,450,0.048799122
query1+460,query1,alignment,460,0.049684225
query1+470,query1,alignment,470,0.052899869
query1+480,query1,alignment,480,0.054535083
query1+490,query1,alignment,490,0.05417165
query1+500,query1,alignment,500,0.055960472
query1+510,query1,alignment,510,0.057384288
query1+520,query1,alignment,520,0.06328606
query1+530,query1,alignment,530,0.067447172
query1+540,query1,alignment,540,0.069480423
query1+550,query1,alignment,550,0.069854416
query1+560,query1,alignment,560,0.043415843
query1+570,query1,alignment,570,0.070713441
query1+580,query1,alignment,580,0.07279304
query1+590,query1,alignment,590,0.040442284
