ref_name,query_name,seed_name,estimation,ref_time,query_time
query1,query1+0,(2.15.1.50)-randstrobemers,1,0.011957906,0.011708006
query1,query1+10,(2.15.1.50)-randstrobemers,0.7067750677506776,0.011645589,0.011794629
query1,query1+20,(2.15.1.50)-randstrobemers,0.44143167028199565,0.011787666,0.011770894
query1,query1+30,(2.15.1.50)-randstrobemers,0.31969448990725585,0.011650538,0.011612897
query1,query1+40,(2.15.1.50)-randstrobemers,0.1967391304347826,0.011664835,0.011618217
query1,query1+50,(2.15.1.50)-randstrobemers,0.15057283142389524,0.011640489,0.011573734
query1,query1+60,(2.15.1.50)-randstrobemers,0.11419249592169657,0.011602468,0.011630771
query1,query1+70,(2.15.1.50)-randstrobemers,0.04666304937601736,0.011688259,0.011683159
query1,query1+80,(2.15.1.50)-randstrobemers,0.06543075245365322,0.011679362,0.01161381
query1,query1+90,(2.15.1.50)-randstrobemers,0.029315960912052116,0.011794949,0.011700282
query1,query1+100,(2.15.1.50)-randstrobemers,0.03550295857988166,0.011650177,0.011997981
query1,query1+110,(2.15.1.50)-randstrobemers,0.018338727076591153,0.011655677,0.01184302
query1,query1+120,(2.15.1.50)-randstrobemers,0.01092896174863388,0.011682809,0.01159839
query1,query1+130,(2.15.1.50)-randstrobemers,0.007621121393576484,0.011569285,0.011622566
query1,query1+140,(2.15.1.50)-randstrobemers,0.00436442989634479,0.011687527,0.011519853
query1,query1+150,(2.15.1.50)-randstrobemers,0,0.011590656,0.011642042
query1,query1+160,(2.15.1.50)-randstrobemers,0,0.011643495,0.011900919
query1,query1+170,(2.15.1.50)-randstrobemers,0.0010799136069114472,0.011686716,0.01186964
query1,query1+180,(2.15.1.50)-randstrobemers,0,0.01165119,0.011671838
query1,query1+190,(2.15.1.50)-randstrobemers,0.001078167115902965,0.011696505,0.011867065
query1,query1+200,(2.15.1.50)-randstrobemers,0,0.011689121,0.011887063
query1,query1+210,(2.15.1.50)-randstrobemers,0,0.011627405,0.011517758
query1,query1+220,(2.15.1.50)-randstrobemers,0,0.01165697,0.011940864
query1,query1+230,(2.15.1.50)-randstrobemers,0,0.011606635,0.01207181
query1,query1+240,(2.15.1.50)-randstrobemers,0,0.012057803,0.011762108
query1,query1+250,(2.15.1.50)-randstrobemers,0,0.011782396,0.011790982
query1,query1+260,(2.15.1.50)-randstrobemers,0,0.011605343,0.01190696
query1,query1+270,(2.15.1.50)-randstrobemers,0,0.011767739,0.011455241
query1,query1+280,(2.15.1.50)-randstrobemers,0.001092896174863388,0.011648054,0.011661759
query1,query1+290,(2.15.1.50)-randstrobemers,0,0.011679022,0.011856966
query1,query1+300,(2.15.1.50)-randstrobemers,0,0.011723375,0.011894497
query1,query1+310,(2.15.1.50)-randstrobemers,0,0.011652802,0.011969447
query1,query1+320,(2.15.1.50)-randstrobemers,0,0.01200797,0.011815788
query1,query1+330,(2.15.1.50)-randstrobemers,0,0.012092027,0.01172594
query1,query1+340,(2.15.1.50)-randstrobemers,0,0.011749735,0.012423982
query1,query1+350,(2.15.1.50)-randstrobemers,0,0.012190422,0.011791834
query1,query1+360,(2.15.1.50)-randstrobemers,0,0.01224208,0.011949971
query1,query1+370,(2.15.1.50)-randstrobemers,0,0.011905858,0.011878296
query1,query1+380,(2.15.1.50)-randstrobemers,0,0.011820888,0.011299569
query1,query1+390,(2.15.1.50)-randstrobemers,0,0.012502098,0.012076448
query1,query1+400,(2.15.1.50)-randstrobemers,0,0.012368077,0.012591136
query1,query1+410,(2.15.1.50)-randstrobemers,0,0.012225579,0.012174413
query1,query1+420,(2.15.1.50)-randstrobemers,0,0.012127775,0.011609601
query1,query1+430,(2.15.1.50)-randstrobemers,0,0.01174731,0.013164854
query1,query1+440,(2.15.1.50)-randstrobemers,0,0.012152822,0.0114071
query1,query1+450,(2.15.1.50)-randstrobemers,0,0.012537936,0.012222884
query1,query1+460,(2.15.1.50)-randstrobemers,0,0.011660787,0.012911087
query1,query1+470,(2.15.1.50)-randstrobemers,0,0.011862186,0.011943208
query1,query1+480,(2.15.1.50)-randstrobemers,0,0.012149155,0.012021736
query1,query1+490,(2.15.1.50)-randstrobemers,0,0.011794078,0.012442847
query1,query1+500,(2.15.1.50)-randstrobemers,0,0.012123407,0.01164078
query1,query1+510,(2.15.1.50)-randstrobemers,0,0.012078082,0.011673071
query1,query1+520,(2.15.1.50)-randstrobemers,0,0.011902642,0.011960881
query1,query1+530,(2.15.1.50)-randstrobemers,0,0.012193829,0.011835906
query1,query1+540,(2.15.1.50)-randstrobemers,0,0.011808846,0.012102417
query1,query1+550,(2.15.1.50)-randstrobemers,0,0.01197597,0.012721301
query1,query1+560,(2.15.1.50)-randstrobemers,0,0.012077281,0.006619102
query1,query1+570,(2.15.1.50)-randstrobemers,0,0.012112436,0.013011786
query1,query1+580,(2.15.1.50)-randstrobemers,0,0.012232753,0.013669493
query1,query1+590,(2.15.1.50)-randstrobemers,0,0.012260905,0.005200504
